"1","5","1","4","BGS-A","DCM GS-A LinkA","SLOT-6","T-ONE",NULL,NULL,NULL,NULL
"2","5","2","5-2","BGS-A","DCM GS-A LinkB","SLOT-6","T-ONE",NULL,NULL,NULL,NULL
"3","5","3","5-3","BGS-A","DCM GS-A(1)","SLOT-6","T-ONE",NULL,NULL,NULL,NULL
"4","5","4","5-4","BGS-A","DCM GS-A(2)","SLOT-6","T-ONE",NULL,NULL,NULL,NULL
"5","5","5","5-5","BGS-A","DCM GS-A(3)","SLOT-6","T-ONE",NULL,NULL,NULL,NULL
"6","5","6","5-6","BGS-A","DCM GS-A(4)","SLOT-6","T-ONE",NULL,NULL,NULL,NULL
"7","5","7","5-7","BGS-A","BGS-B(1)","SLOT-6","T-ONE",NULL,NULL,NULL,"BGS-A:13"
"8","5","8","5-8","BGS-A","NTTCom","SLOT-6","T-ONE","MMR3-71","NTT_Com","03-6745-8612",NULL
"9","5","9","5-9","BGS-A","IGS-3(1)","SLOT-6","T-ONE",NULL,NULL,NULL,"IGS-3:35"
"10","5","10","5-10","BGS-A","IGS-3(2)","SLOT-6","T-ONE",NULL,NULL,NULL,"IGS-3:36"
"11","5","11","5-11","BGS-A","IDC","SLOT-6","T-ONE","MMR2-51","IDC","3-160-36-4605",NULL
"12","5","12","5-12","BGS-A","KDD","SLOT-6","T-ONE","DSU-74","KDDI","03-5657-4221",NULL
"13","5","13","5-13","BGS-A","NTTCom","SLOT-6","T-ONE","MMR3-64","NTT_Com","03-6831-6861",NULL
"14","5","14","5-14","BGS-A","JT","SLOT-6","T-ONE","DSU2-40","JT","03-6688-3691","3691"
"15","5","15","5-15","BGS-A","IGS-2(1)","SLOT-6","T-ONE",NULL,NULL,NULL,"IGS-2:33"
"16","5","16","5-16","BGS-A","IGS-2(2)","SLOT-6","T-ONE","DSU2-18","JTITFS","03-6688-3689","IGS-2:34"
"17","5","17","5-17","BGS-A","DCM GS-D LinkA","SLOT-7","T-ONE",NULL,NULL,NULL,NULL
"18","5","18","5-18","BGS-A","DCM GS-D LinkB","SLOT-7","T-ONE",NULL,NULL,NULL,NULL
"19","5","19","5-19","BGS-A","DCM GS-D(1)","SLOT-7","T-ONE",NULL,NULL,NULL,NULL
